t=     0s {'MemAvailable': 16.64, 'MemFree': 8.18, 'Cached': 7.79, 'Shmem': 0.05, 'AnonPages': 4.88, 'Mapped': 1.01} top=[(3.4, 'VLLM::EngineCor'), (1.59, 'python3'), (0.55, 'claude'), (0.26, 'codex')] gpu=[N/A], 0 %
t=   217s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   223s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   228s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   233s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   238s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   243s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   248s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   253s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   258s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.48, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   263s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.48, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   268s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   273s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   278s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   283s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   288s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   293s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   298s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   303s {'MemAvailable': 15.99, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   309s {'MemAvailable': 15.99, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   314s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   319s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   324s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   329s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   334s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   339s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   344s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   349s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   354s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   359s {'MemAvailable': 15.97, 'MemFree': 7.53, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   364s {'MemAvailable': 15.98, 'MemFree': 7.53, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   369s {'MemAvailable': 15.98, 'MemFree': 7.53, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   374s {'MemAvailable': 15.98, 'MemFree': 7.53, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   379s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   384s {'MemAvailable': 15.98, 'MemFree': 7.53, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   390s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   395s {'MemAvailable': 15.99, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   400s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   405s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   410s {'MemAvailable': 16.0, 'MemFree': 7.56, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   415s {'MemAvailable': 16.0, 'MemFree': 7.56, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   420s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   425s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   430s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   435s {'MemAvailable': 15.99, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   440s {'MemAvailable': 15.98, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   445s {'MemAvailable': 15.99, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   450s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.06, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
t=   455s {'MemAvailable': 15.99, 'MemFree': 7.55, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   460s {'MemAvailable': 15.99, 'MemFree': 7.54, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 95 %
t=   465s {'MemAvailable': 15.96, 'MemFree': 7.52, 'Cached': 7.78, 'Shmem': 0.05, 'AnonPages': 5.05, 'Mapped': 0.99} top=[(3.43, 'VLLM::EngineCor'), (1.78, 'python3'), (0.47, 'claude'), (0.25, 'codex')] gpu=[N/A], 96 %
